time_start,time_end,model,launch_place,target,carrier,launched,destroyed,not_reach_goal
11/21/2024 5:00,11/21/2024 7:00,Hypersonic Missiles,Tambov oblast,Dnipro,MiG-31K,1,0,
11/21/2024 5:00,11/21/2024 7:00,Cruise Missiles,Volgograd oblast,Dnipro,Tu-95MS,7,6,
11/21/2024 5:00,11/21/2024 7:00,Intercontinental ballistic missile,Astrakhan oblast,Dnipro,Unknown,1,0,
11/19/2024 19:30,11/20/2024 11:00,Cruise Missiles,Unknown,Dnipropetrovsk oblast and Chernihiv oblast and Sumy oblast,Unknown,5,2,
11/19/2024 19:30,11/20/2024 11:00,Surface-to-Air Missiles (SAM),Belgorod oblast,Kharkiv oblast,Unknown,1,0,
11/19/2024,11/19/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/19/2024,11/19/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
11/18/2024 11:57,11/18/2024 11:57,Ballistic Missiles,Unknown,Odesa oblast,Unknown,1,1,
11/18/2024 11:45,11/18/2024 11:45,Reconnaissance UAVs,Unknown,Odesa oblast,Unknown,1,1,
11/17/2024 19:30,11/18/2024 8:00,Cruise Missiles,Kursk oblast,Sumy oblast,Unknown,1,0,
11/17/2024 19:30,11/18/2024 8:00,Loitering Munition (Kamikaze Drones),Kursk oblast,Ukraine,Unknown,11,8,3
11/17/2024 19:30,11/18/2024 8:00,Ballistic Missiles,Voronezh oblast,Sumy oblast,Unknown,2,0,
11/18/2024,11/18/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
11/18/2024,11/18/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/18/2024,11/18/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/18/2024,11/18/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,4,4,
11/17/2024 5:30,11/17/2024 8:30,Cruise Missiles,Unknown,Ukraine,Unknown,5,5,
11/17/2024 5:30,11/17/2024 8:30,Hypersonic Missiles,Unknown,Ukraine,10 x MiG-31K,8,7,
